"","DATE","yieldCereal"
"2",1961,2181.5
"3",1962,2225.3
"4",1963,2115.2
"5",1964,2243
"6",1965,2399.3
"7",1966,2399.8
"8",1967,2628.8
"9",1968,2527.1
"10",1969,2676.1
"11",1970,2754.7
"12",1971,2963.1
"13",1972,2926.8
"14",1973,2983
"15",1974,3157
"16",1975,3302
"17",1976,3206
"18",1977,3198.7
"19",1978,3437.5
"20",1979,3435
"21",1980,3521.1
"22",1981,3686.7
"23",1982,3585
"24",1983,3526.6
"25",1984,3927.2
"26",1985,3739.3
"27",1986,3855.4
"28",1987,3920.1
"29",1988,3807
"30",1989,3702.7
"31",1990,3944.9
"32",1991,4366.3
"33",1992,4707.4
"34",1993,4850.9
"35",1994,4675.3
"36",1995,4667.4
"37",1996,4948.3
"38",1997,4747.6
"39",1998,5078.2
"40",1999,5047.4
"41",2000,4993.9
"42",2001,4821.4
"43",2002,4959.2
"44",2003,4307.2
"45",2004,5444.4
"46",2005,5361.4
"47",2006,5316.1
"48",2007,5174
"49",2008,5353
"50",2009,5086.9
"51",2010,5322.5
"52",2011,5677.2
"53",2012,5315.1
"54",2013,5264.6
"55",2014,5709
